row_id,LABEL
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,1
557,0
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,1
648,0
649,0
650,1
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,1
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,1
715,1
716,0
717,0
718,0
719,1
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,1
730,0
731,0
732,0
733,1
734,0
735,0
736,1
737,1
738,1
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,1
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,0
811,1
